subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Database Management Systems (DBMS),mcq,easy,Evaluated Database Management Systems (DBMS) Question #1: What is the primary characteristic of Database Management Systems (DBMS) concept #1?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),multi_select,medium,Evaluated Database Management Systems (DBMS) Question #2: What is the primary characteristic of Database Management Systems (DBMS) concept #2?,"Option A, Option B, Option C, Option D",Option A,,2
Database Management Systems (DBMS),short_answer,hard,Evaluated Database Management Systems (DBMS) Question #3: What is the primary characteristic of Database Management Systems (DBMS) concept #3?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #3.,3
Database Management Systems (DBMS),long_answer,easy,Evaluated Database Management Systems (DBMS) Question #4: What is the primary characteristic of Database Management Systems (DBMS) concept #4?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #4.,1
Database Management Systems (DBMS),mcq,medium,Evaluated Database Management Systems (DBMS) Question #5: What is the primary characteristic of Database Management Systems (DBMS) concept #5?,"Option A, Option B, Option C, Option D",Option A,,2
Database Management Systems (DBMS),multi_select,hard,Evaluated Database Management Systems (DBMS) Question #6: What is the primary characteristic of Database Management Systems (DBMS) concept #6?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),short_answer,easy,Evaluated Database Management Systems (DBMS) Question #7: What is the primary characteristic of Database Management Systems (DBMS) concept #7?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #7.,1
Database Management Systems (DBMS),long_answer,medium,Evaluated Database Management Systems (DBMS) Question #8: What is the primary characteristic of Database Management Systems (DBMS) concept #8?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #8.,2
Database Management Systems (DBMS),mcq,hard,Evaluated Database Management Systems (DBMS) Question #9: What is the primary characteristic of Database Management Systems (DBMS) concept #9?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),multi_select,easy,Evaluated Database Management Systems (DBMS) Question #10: What is the primary characteristic of Database Management Systems (DBMS) concept #10?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),short_answer,medium,Evaluated Database Management Systems (DBMS) Question #11: What is the primary characteristic of Database Management Systems (DBMS) concept #11?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #11.,2
Database Management Systems (DBMS),long_answer,hard,Evaluated Database Management Systems (DBMS) Question #12: What is the primary characteristic of Database Management Systems (DBMS) concept #12?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #12.,3
Database Management Systems (DBMS),mcq,easy,Evaluated Database Management Systems (DBMS) Question #13: What is the primary characteristic of Database Management Systems (DBMS) concept #13?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),multi_select,medium,Evaluated Database Management Systems (DBMS) Question #14: What is the primary characteristic of Database Management Systems (DBMS) concept #14?,"Option A, Option B, Option C, Option D",Option A,,2
