subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Artificial Intelligence,mcq,easy,Evaluated Artificial Intelligence Question #1: What is the primary characteristic of Artificial Intelligence concept #1?,"Option A, Option B, Option C, Option D",Option A,,1
Artificial Intelligence,multi_select,medium,Evaluated Artificial Intelligence Question #2: What is the primary characteristic of Artificial Intelligence concept #2?,"Option A, Option B, Option C, Option D",Option A,,2
Artificial Intelligence,short_answer,hard,Evaluated Artificial Intelligence Question #3: What is the primary characteristic of Artificial Intelligence concept #3?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #3.,3
Artificial Intelligence,long_answer,easy,Evaluated Artificial Intelligence Question #4: What is the primary characteristic of Artificial Intelligence concept #4?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #4.,1
Artificial Intelligence,mcq,medium,Evaluated Artificial Intelligence Question #5: What is the primary characteristic of Artificial Intelligence concept #5?,"Option A, Option B, Option C, Option D",Option A,,2
Artificial Intelligence,multi_select,hard,Evaluated Artificial Intelligence Question #6: What is the primary characteristic of Artificial Intelligence concept #6?,"Option A, Option B, Option C, Option D",Option A,,3
Artificial Intelligence,short_answer,easy,Evaluated Artificial Intelligence Question #7: What is the primary characteristic of Artificial Intelligence concept #7?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #7.,1
Artificial Intelligence,long_answer,medium,Evaluated Artificial Intelligence Question #8: What is the primary characteristic of Artificial Intelligence concept #8?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #8.,2
Artificial Intelligence,mcq,hard,Evaluated Artificial Intelligence Question #9: What is the primary characteristic of Artificial Intelligence concept #9?,"Option A, Option B, Option C, Option D",Option A,,3
Artificial Intelligence,multi_select,easy,Evaluated Artificial Intelligence Question #10: What is the primary characteristic of Artificial Intelligence concept #10?,"Option A, Option B, Option C, Option D",Option A,,1
Artificial Intelligence,short_answer,medium,Evaluated Artificial Intelligence Question #11: What is the primary characteristic of Artificial Intelligence concept #11?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #11.,2
Artificial Intelligence,long_answer,hard,Evaluated Artificial Intelligence Question #12: What is the primary characteristic of Artificial Intelligence concept #12?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #12.,3
Artificial Intelligence,mcq,easy,Evaluated Artificial Intelligence Question #13: What is the primary characteristic of Artificial Intelligence concept #13?,"Option A, Option B, Option C, Option D",Option A,,1
Artificial Intelligence,multi_select,medium,Evaluated Artificial Intelligence Question #14: What is the primary characteristic of Artificial Intelligence concept #14?,"Option A, Option B, Option C, Option D",Option A,,2
Artificial Intelligence,short_answer,hard,Evaluated Artificial Intelligence Question #15: What is the primary characteristic of Artificial Intelligence concept #15?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #15.,3
Artificial Intelligence,long_answer,easy,Evaluated Artificial Intelligence Question #16: What is the primary characteristic of Artificial Intelligence concept #16?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #16.,1
Artificial Intelligence,mcq,medium,Evaluated Artificial Intelligence Question #17: What is the primary characteristic of Artificial Intelligence concept #17?,"Option A, Option B, Option C, Option D",Option A,,2
Artificial Intelligence,multi_select,hard,Evaluated Artificial Intelligence Question #18: What is the primary characteristic of Artificial Intelligence concept #18?,"Option A, Option B, Option C, Option D",Option A,,3
Artificial Intelligence,short_answer,easy,Evaluated Artificial Intelligence Question #19: What is the primary characteristic of Artificial Intelligence concept #19?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #19.,1
Artificial Intelligence,long_answer,medium,Evaluated Artificial Intelligence Question #20: What is the primary characteristic of Artificial Intelligence concept #20?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #20.,2
Artificial Intelligence,mcq,hard,Evaluated Artificial Intelligence Question #21: What is the primary characteristic of Artificial Intelligence concept #21?,"Option A, Option B, Option C, Option D",Option A,,3
Artificial Intelligence,multi_select,easy,Evaluated Artificial Intelligence Question #22: What is the primary characteristic of Artificial Intelligence concept #22?,"Option A, Option B, Option C, Option D",Option A,,1
Artificial Intelligence,short_answer,medium,Evaluated Artificial Intelligence Question #23: What is the primary characteristic of Artificial Intelligence concept #23?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #23.,2
Artificial Intelligence,long_answer,hard,Evaluated Artificial Intelligence Question #24: What is the primary characteristic of Artificial Intelligence concept #24?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #24.,3
Artificial Intelligence,mcq,easy,Evaluated Artificial Intelligence Question #25: What is the primary characteristic of Artificial Intelligence concept #25?,"Option A, Option B, Option C, Option D",Option A,,1
Artificial Intelligence,multi_select,medium,Evaluated Artificial Intelligence Question #26: What is the primary characteristic of Artificial Intelligence concept #26?,"Option A, Option B, Option C, Option D",Option A,,2
Artificial Intelligence,short_answer,hard,Evaluated Artificial Intelligence Question #27: What is the primary characteristic of Artificial Intelligence concept #27?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #27.,3
Artificial Intelligence,long_answer,easy,Evaluated Artificial Intelligence Question #28: What is the primary characteristic of Artificial Intelligence concept #28?,,Expected core concept,Model solution explaining Artificial Intelligence principles for question #28.,1
Artificial Intelligence,mcq,medium,Evaluated Artificial Intelligence Question #29: What is the primary characteristic of Artificial Intelligence concept #29?,"Option A, Option B, Option C, Option D",Option A,,2
Artificial Intelligence,multi_select,hard,Evaluated Artificial Intelligence Question #30: What is the primary characteristic of Artificial Intelligence concept #30?,"Option A, Option B, Option C, Option D",Option A,,3
