subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Web Development,mcq,easy,Evaluated Web Development Question #1: What is the primary characteristic of Web Development concept #1?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,multi_select,medium,Evaluated Web Development Question #2: What is the primary characteristic of Web Development concept #2?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,short_answer,hard,Evaluated Web Development Question #3: What is the primary characteristic of Web Development concept #3?,,Expected core concept,Model solution explaining Web Development principles for question #3.,3
Web Development,long_answer,easy,Evaluated Web Development Question #4: What is the primary characteristic of Web Development concept #4?,,Expected core concept,Model solution explaining Web Development principles for question #4.,1
Web Development,mcq,medium,Evaluated Web Development Question #5: What is the primary characteristic of Web Development concept #5?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,multi_select,hard,Evaluated Web Development Question #6: What is the primary characteristic of Web Development concept #6?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,short_answer,easy,Evaluated Web Development Question #7: What is the primary characteristic of Web Development concept #7?,,Expected core concept,Model solution explaining Web Development principles for question #7.,1
Web Development,long_answer,medium,Evaluated Web Development Question #8: What is the primary characteristic of Web Development concept #8?,,Expected core concept,Model solution explaining Web Development principles for question #8.,2
Web Development,mcq,hard,Evaluated Web Development Question #9: What is the primary characteristic of Web Development concept #9?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,multi_select,easy,Evaluated Web Development Question #10: What is the primary characteristic of Web Development concept #10?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,short_answer,medium,Evaluated Web Development Question #11: What is the primary characteristic of Web Development concept #11?,,Expected core concept,Model solution explaining Web Development principles for question #11.,2
Web Development,long_answer,hard,Evaluated Web Development Question #12: What is the primary characteristic of Web Development concept #12?,,Expected core concept,Model solution explaining Web Development principles for question #12.,3
Web Development,mcq,easy,Evaluated Web Development Question #13: What is the primary characteristic of Web Development concept #13?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,multi_select,medium,Evaluated Web Development Question #14: What is the primary characteristic of Web Development concept #14?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,short_answer,hard,Evaluated Web Development Question #15: What is the primary characteristic of Web Development concept #15?,,Expected core concept,Model solution explaining Web Development principles for question #15.,3
Web Development,long_answer,easy,Evaluated Web Development Question #16: What is the primary characteristic of Web Development concept #16?,,Expected core concept,Model solution explaining Web Development principles for question #16.,1
Web Development,mcq,medium,Evaluated Web Development Question #17: What is the primary characteristic of Web Development concept #17?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,multi_select,hard,Evaluated Web Development Question #18: What is the primary characteristic of Web Development concept #18?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,short_answer,easy,Evaluated Web Development Question #19: What is the primary characteristic of Web Development concept #19?,,Expected core concept,Model solution explaining Web Development principles for question #19.,1
Web Development,long_answer,medium,Evaluated Web Development Question #20: What is the primary characteristic of Web Development concept #20?,,Expected core concept,Model solution explaining Web Development principles for question #20.,2
Web Development,mcq,hard,Evaluated Web Development Question #21: What is the primary characteristic of Web Development concept #21?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,multi_select,easy,Evaluated Web Development Question #22: What is the primary characteristic of Web Development concept #22?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,short_answer,medium,Evaluated Web Development Question #23: What is the primary characteristic of Web Development concept #23?,,Expected core concept,Model solution explaining Web Development principles for question #23.,2
Web Development,long_answer,hard,Evaluated Web Development Question #24: What is the primary characteristic of Web Development concept #24?,,Expected core concept,Model solution explaining Web Development principles for question #24.,3
Web Development,mcq,easy,Evaluated Web Development Question #25: What is the primary characteristic of Web Development concept #25?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,multi_select,medium,Evaluated Web Development Question #26: What is the primary characteristic of Web Development concept #26?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,short_answer,hard,Evaluated Web Development Question #27: What is the primary characteristic of Web Development concept #27?,,Expected core concept,Model solution explaining Web Development principles for question #27.,3
Web Development,long_answer,easy,Evaluated Web Development Question #28: What is the primary characteristic of Web Development concept #28?,,Expected core concept,Model solution explaining Web Development principles for question #28.,1
Web Development,mcq,medium,Evaluated Web Development Question #29: What is the primary characteristic of Web Development concept #29?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,multi_select,hard,Evaluated Web Development Question #30: What is the primary characteristic of Web Development concept #30?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,short_answer,easy,Evaluated Web Development Question #31: What is the primary characteristic of Web Development concept #31?,,Expected core concept,Model solution explaining Web Development principles for question #31.,1
Web Development,long_answer,medium,Evaluated Web Development Question #32: What is the primary characteristic of Web Development concept #32?,,Expected core concept,Model solution explaining Web Development principles for question #32.,2
Web Development,mcq,hard,Evaluated Web Development Question #33: What is the primary characteristic of Web Development concept #33?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,multi_select,easy,Evaluated Web Development Question #34: What is the primary characteristic of Web Development concept #34?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,short_answer,medium,Evaluated Web Development Question #35: What is the primary characteristic of Web Development concept #35?,,Expected core concept,Model solution explaining Web Development principles for question #35.,2
Web Development,long_answer,hard,Evaluated Web Development Question #36: What is the primary characteristic of Web Development concept #36?,,Expected core concept,Model solution explaining Web Development principles for question #36.,3
Web Development,mcq,easy,Evaluated Web Development Question #37: What is the primary characteristic of Web Development concept #37?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,multi_select,medium,Evaluated Web Development Question #38: What is the primary characteristic of Web Development concept #38?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,short_answer,hard,Evaluated Web Development Question #39: What is the primary characteristic of Web Development concept #39?,,Expected core concept,Model solution explaining Web Development principles for question #39.,3
Web Development,long_answer,easy,Evaluated Web Development Question #40: What is the primary characteristic of Web Development concept #40?,,Expected core concept,Model solution explaining Web Development principles for question #40.,1
Web Development,mcq,medium,Evaluated Web Development Question #41: What is the primary characteristic of Web Development concept #41?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,multi_select,hard,Evaluated Web Development Question #42: What is the primary characteristic of Web Development concept #42?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,short_answer,easy,Evaluated Web Development Question #43: What is the primary characteristic of Web Development concept #43?,,Expected core concept,Model solution explaining Web Development principles for question #43.,1
Web Development,long_answer,medium,Evaluated Web Development Question #44: What is the primary characteristic of Web Development concept #44?,,Expected core concept,Model solution explaining Web Development principles for question #44.,2
Web Development,mcq,hard,Evaluated Web Development Question #45: What is the primary characteristic of Web Development concept #45?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,multi_select,easy,Evaluated Web Development Question #46: What is the primary characteristic of Web Development concept #46?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,short_answer,medium,Evaluated Web Development Question #47: What is the primary characteristic of Web Development concept #47?,,Expected core concept,Model solution explaining Web Development principles for question #47.,2
Web Development,long_answer,hard,Evaluated Web Development Question #48: What is the primary characteristic of Web Development concept #48?,,Expected core concept,Model solution explaining Web Development principles for question #48.,3
Web Development,mcq,easy,Evaluated Web Development Question #49: What is the primary characteristic of Web Development concept #49?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,multi_select,medium,Evaluated Web Development Question #50: What is the primary characteristic of Web Development concept #50?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,short_answer,hard,Evaluated Web Development Question #51: What is the primary characteristic of Web Development concept #51?,,Expected core concept,Model solution explaining Web Development principles for question #51.,3
Web Development,long_answer,easy,Evaluated Web Development Question #52: What is the primary characteristic of Web Development concept #52?,,Expected core concept,Model solution explaining Web Development principles for question #52.,1
Web Development,mcq,medium,Evaluated Web Development Question #53: What is the primary characteristic of Web Development concept #53?,"Option A, Option B, Option C, Option D",Option A,,2
Web Development,multi_select,hard,Evaluated Web Development Question #54: What is the primary characteristic of Web Development concept #54?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,short_answer,easy,Evaluated Web Development Question #55: What is the primary characteristic of Web Development concept #55?,,Expected core concept,Model solution explaining Web Development principles for question #55.,1
Web Development,long_answer,medium,Evaluated Web Development Question #56: What is the primary characteristic of Web Development concept #56?,,Expected core concept,Model solution explaining Web Development principles for question #56.,2
Web Development,mcq,hard,Evaluated Web Development Question #57: What is the primary characteristic of Web Development concept #57?,"Option A, Option B, Option C, Option D",Option A,,3
Web Development,multi_select,easy,Evaluated Web Development Question #58: What is the primary characteristic of Web Development concept #58?,"Option A, Option B, Option C, Option D",Option A,,1
Web Development,short_answer,medium,Evaluated Web Development Question #59: What is the primary characteristic of Web Development concept #59?,,Expected core concept,Model solution explaining Web Development principles for question #59.,2
Web Development,long_answer,hard,Evaluated Web Development Question #60: What is the primary characteristic of Web Development concept #60?,,Expected core concept,Model solution explaining Web Development principles for question #60.,3
