subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Chemistry,mcq,easy,Evaluated Chemistry Question #1: What is the primary characteristic of Chemistry concept #1?,"Option A, Option B, Option C, Option D",Option A,,1
Chemistry,multi_select,medium,Evaluated Chemistry Question #2: What is the primary characteristic of Chemistry concept #2?,"Option A, Option B, Option C, Option D",Option A,,2
Chemistry,short_answer,hard,Evaluated Chemistry Question #3: What is the primary characteristic of Chemistry concept #3?,,Expected core concept,Model solution explaining Chemistry principles for question #3.,3
Chemistry,long_answer,easy,Evaluated Chemistry Question #4: What is the primary characteristic of Chemistry concept #4?,,Expected core concept,Model solution explaining Chemistry principles for question #4.,1
Chemistry,mcq,medium,Evaluated Chemistry Question #5: What is the primary characteristic of Chemistry concept #5?,"Option A, Option B, Option C, Option D",Option A,,2
Chemistry,multi_select,hard,Evaluated Chemistry Question #6: What is the primary characteristic of Chemistry concept #6?,"Option A, Option B, Option C, Option D",Option A,,3
Chemistry,short_answer,easy,Evaluated Chemistry Question #7: What is the primary characteristic of Chemistry concept #7?,,Expected core concept,Model solution explaining Chemistry principles for question #7.,1
Chemistry,long_answer,medium,Evaluated Chemistry Question #8: What is the primary characteristic of Chemistry concept #8?,,Expected core concept,Model solution explaining Chemistry principles for question #8.,2
Chemistry,mcq,hard,Evaluated Chemistry Question #9: What is the primary characteristic of Chemistry concept #9?,"Option A, Option B, Option C, Option D",Option A,,3
Chemistry,multi_select,easy,Evaluated Chemistry Question #10: What is the primary characteristic of Chemistry concept #10?,"Option A, Option B, Option C, Option D",Option A,,1
Chemistry,short_answer,medium,Evaluated Chemistry Question #11: What is the primary characteristic of Chemistry concept #11?,,Expected core concept,Model solution explaining Chemistry principles for question #11.,2
Chemistry,long_answer,hard,Evaluated Chemistry Question #12: What is the primary characteristic of Chemistry concept #12?,,Expected core concept,Model solution explaining Chemistry principles for question #12.,3
Chemistry,mcq,easy,Evaluated Chemistry Question #13: What is the primary characteristic of Chemistry concept #13?,"Option A, Option B, Option C, Option D",Option A,,1
Chemistry,multi_select,medium,Evaluated Chemistry Question #14: What is the primary characteristic of Chemistry concept #14?,"Option A, Option B, Option C, Option D",Option A,,2
Chemistry,short_answer,hard,Evaluated Chemistry Question #15: What is the primary characteristic of Chemistry concept #15?,,Expected core concept,Model solution explaining Chemistry principles for question #15.,3
Chemistry,long_answer,easy,Evaluated Chemistry Question #16: What is the primary characteristic of Chemistry concept #16?,,Expected core concept,Model solution explaining Chemistry principles for question #16.,1
Chemistry,mcq,medium,Evaluated Chemistry Question #17: What is the primary characteristic of Chemistry concept #17?,"Option A, Option B, Option C, Option D",Option A,,2
Chemistry,multi_select,hard,Evaluated Chemistry Question #18: What is the primary characteristic of Chemistry concept #18?,"Option A, Option B, Option C, Option D",Option A,,3
Chemistry,short_answer,easy,Evaluated Chemistry Question #19: What is the primary characteristic of Chemistry concept #19?,,Expected core concept,Model solution explaining Chemistry principles for question #19.,1
Chemistry,long_answer,medium,Evaluated Chemistry Question #20: What is the primary characteristic of Chemistry concept #20?,,Expected core concept,Model solution explaining Chemistry principles for question #20.,2
Chemistry,mcq,hard,Evaluated Chemistry Question #21: What is the primary characteristic of Chemistry concept #21?,"Option A, Option B, Option C, Option D",Option A,,3
Chemistry,multi_select,easy,Evaluated Chemistry Question #22: What is the primary characteristic of Chemistry concept #22?,"Option A, Option B, Option C, Option D",Option A,,1
Chemistry,short_answer,medium,Evaluated Chemistry Question #23: What is the primary characteristic of Chemistry concept #23?,,Expected core concept,Model solution explaining Chemistry principles for question #23.,2
Chemistry,long_answer,hard,Evaluated Chemistry Question #24: What is the primary characteristic of Chemistry concept #24?,,Expected core concept,Model solution explaining Chemistry principles for question #24.,3
Chemistry,mcq,easy,Evaluated Chemistry Question #25: What is the primary characteristic of Chemistry concept #25?,"Option A, Option B, Option C, Option D",Option A,,1
Chemistry,multi_select,medium,Evaluated Chemistry Question #26: What is the primary characteristic of Chemistry concept #26?,"Option A, Option B, Option C, Option D",Option A,,2
