subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Data Structures,mcq,easy,Evaluated Data Structures Question #1: What is the primary characteristic of Data Structures concept #1?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,multi_select,medium,Evaluated Data Structures Question #2: What is the primary characteristic of Data Structures concept #2?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,short_answer,hard,Evaluated Data Structures Question #3: What is the primary characteristic of Data Structures concept #3?,,Expected core concept,Model solution explaining Data Structures principles for question #3.,3
Data Structures,long_answer,easy,Evaluated Data Structures Question #4: What is the primary characteristic of Data Structures concept #4?,,Expected core concept,Model solution explaining Data Structures principles for question #4.,1
Data Structures,mcq,medium,Evaluated Data Structures Question #5: What is the primary characteristic of Data Structures concept #5?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,multi_select,hard,Evaluated Data Structures Question #6: What is the primary characteristic of Data Structures concept #6?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,short_answer,easy,Evaluated Data Structures Question #7: What is the primary characteristic of Data Structures concept #7?,,Expected core concept,Model solution explaining Data Structures principles for question #7.,1
Data Structures,long_answer,medium,Evaluated Data Structures Question #8: What is the primary characteristic of Data Structures concept #8?,,Expected core concept,Model solution explaining Data Structures principles for question #8.,2
Data Structures,mcq,hard,Evaluated Data Structures Question #9: What is the primary characteristic of Data Structures concept #9?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,multi_select,easy,Evaluated Data Structures Question #10: What is the primary characteristic of Data Structures concept #10?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,short_answer,medium,Evaluated Data Structures Question #11: What is the primary characteristic of Data Structures concept #11?,,Expected core concept,Model solution explaining Data Structures principles for question #11.,2
Data Structures,long_answer,hard,Evaluated Data Structures Question #12: What is the primary characteristic of Data Structures concept #12?,,Expected core concept,Model solution explaining Data Structures principles for question #12.,3
Data Structures,mcq,easy,Evaluated Data Structures Question #13: What is the primary characteristic of Data Structures concept #13?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,multi_select,medium,Evaluated Data Structures Question #14: What is the primary characteristic of Data Structures concept #14?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,short_answer,hard,Evaluated Data Structures Question #15: What is the primary characteristic of Data Structures concept #15?,,Expected core concept,Model solution explaining Data Structures principles for question #15.,3
Data Structures,long_answer,easy,Evaluated Data Structures Question #16: What is the primary characteristic of Data Structures concept #16?,,Expected core concept,Model solution explaining Data Structures principles for question #16.,1
Data Structures,mcq,medium,Evaluated Data Structures Question #17: What is the primary characteristic of Data Structures concept #17?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,multi_select,hard,Evaluated Data Structures Question #18: What is the primary characteristic of Data Structures concept #18?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,short_answer,easy,Evaluated Data Structures Question #19: What is the primary characteristic of Data Structures concept #19?,,Expected core concept,Model solution explaining Data Structures principles for question #19.,1
Data Structures,long_answer,medium,Evaluated Data Structures Question #20: What is the primary characteristic of Data Structures concept #20?,,Expected core concept,Model solution explaining Data Structures principles for question #20.,2
Data Structures,mcq,hard,Evaluated Data Structures Question #21: What is the primary characteristic of Data Structures concept #21?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,multi_select,easy,Evaluated Data Structures Question #22: What is the primary characteristic of Data Structures concept #22?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,short_answer,medium,Evaluated Data Structures Question #23: What is the primary characteristic of Data Structures concept #23?,,Expected core concept,Model solution explaining Data Structures principles for question #23.,2
Data Structures,long_answer,hard,Evaluated Data Structures Question #24: What is the primary characteristic of Data Structures concept #24?,,Expected core concept,Model solution explaining Data Structures principles for question #24.,3
Data Structures,mcq,easy,Evaluated Data Structures Question #25: What is the primary characteristic of Data Structures concept #25?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,multi_select,medium,Evaluated Data Structures Question #26: What is the primary characteristic of Data Structures concept #26?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,short_answer,hard,Evaluated Data Structures Question #27: What is the primary characteristic of Data Structures concept #27?,,Expected core concept,Model solution explaining Data Structures principles for question #27.,3
Data Structures,long_answer,easy,Evaluated Data Structures Question #28: What is the primary characteristic of Data Structures concept #28?,,Expected core concept,Model solution explaining Data Structures principles for question #28.,1
Data Structures,mcq,medium,Evaluated Data Structures Question #29: What is the primary characteristic of Data Structures concept #29?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,multi_select,hard,Evaluated Data Structures Question #30: What is the primary characteristic of Data Structures concept #30?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,short_answer,easy,Evaluated Data Structures Question #31: What is the primary characteristic of Data Structures concept #31?,,Expected core concept,Model solution explaining Data Structures principles for question #31.,1
Data Structures,long_answer,medium,Evaluated Data Structures Question #32: What is the primary characteristic of Data Structures concept #32?,,Expected core concept,Model solution explaining Data Structures principles for question #32.,2
Data Structures,mcq,hard,Evaluated Data Structures Question #33: What is the primary characteristic of Data Structures concept #33?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,multi_select,easy,Evaluated Data Structures Question #34: What is the primary characteristic of Data Structures concept #34?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,short_answer,medium,Evaluated Data Structures Question #35: What is the primary characteristic of Data Structures concept #35?,,Expected core concept,Model solution explaining Data Structures principles for question #35.,2
Data Structures,long_answer,hard,Evaluated Data Structures Question #36: What is the primary characteristic of Data Structures concept #36?,,Expected core concept,Model solution explaining Data Structures principles for question #36.,3
Data Structures,mcq,easy,Evaluated Data Structures Question #37: What is the primary characteristic of Data Structures concept #37?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,multi_select,medium,Evaluated Data Structures Question #38: What is the primary characteristic of Data Structures concept #38?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,short_answer,hard,Evaluated Data Structures Question #39: What is the primary characteristic of Data Structures concept #39?,,Expected core concept,Model solution explaining Data Structures principles for question #39.,3
Data Structures,long_answer,easy,Evaluated Data Structures Question #40: What is the primary characteristic of Data Structures concept #40?,,Expected core concept,Model solution explaining Data Structures principles for question #40.,1
Data Structures,mcq,medium,Evaluated Data Structures Question #41: What is the primary characteristic of Data Structures concept #41?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,multi_select,hard,Evaluated Data Structures Question #42: What is the primary characteristic of Data Structures concept #42?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,short_answer,easy,Evaluated Data Structures Question #43: What is the primary characteristic of Data Structures concept #43?,,Expected core concept,Model solution explaining Data Structures principles for question #43.,1
Data Structures,long_answer,medium,Evaluated Data Structures Question #44: What is the primary characteristic of Data Structures concept #44?,,Expected core concept,Model solution explaining Data Structures principles for question #44.,2
Data Structures,mcq,hard,Evaluated Data Structures Question #45: What is the primary characteristic of Data Structures concept #45?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,multi_select,easy,Evaluated Data Structures Question #46: What is the primary characteristic of Data Structures concept #46?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,short_answer,medium,Evaluated Data Structures Question #47: What is the primary characteristic of Data Structures concept #47?,,Expected core concept,Model solution explaining Data Structures principles for question #47.,2
Data Structures,long_answer,hard,Evaluated Data Structures Question #48: What is the primary characteristic of Data Structures concept #48?,,Expected core concept,Model solution explaining Data Structures principles for question #48.,3
Data Structures,mcq,easy,Evaluated Data Structures Question #49: What is the primary characteristic of Data Structures concept #49?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,multi_select,medium,Evaluated Data Structures Question #50: What is the primary characteristic of Data Structures concept #50?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,short_answer,hard,Evaluated Data Structures Question #51: What is the primary characteristic of Data Structures concept #51?,,Expected core concept,Model solution explaining Data Structures principles for question #51.,3
Data Structures,long_answer,easy,Evaluated Data Structures Question #52: What is the primary characteristic of Data Structures concept #52?,,Expected core concept,Model solution explaining Data Structures principles for question #52.,1
Data Structures,mcq,medium,Evaluated Data Structures Question #53: What is the primary characteristic of Data Structures concept #53?,"Option A, Option B, Option C, Option D",Option A,,2
Data Structures,multi_select,hard,Evaluated Data Structures Question #54: What is the primary characteristic of Data Structures concept #54?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,short_answer,easy,Evaluated Data Structures Question #55: What is the primary characteristic of Data Structures concept #55?,,Expected core concept,Model solution explaining Data Structures principles for question #55.,1
Data Structures,long_answer,medium,Evaluated Data Structures Question #56: What is the primary characteristic of Data Structures concept #56?,,Expected core concept,Model solution explaining Data Structures principles for question #56.,2
Data Structures,mcq,hard,Evaluated Data Structures Question #57: What is the primary characteristic of Data Structures concept #57?,"Option A, Option B, Option C, Option D",Option A,,3
Data Structures,multi_select,easy,Evaluated Data Structures Question #58: What is the primary characteristic of Data Structures concept #58?,"Option A, Option B, Option C, Option D",Option A,,1
Data Structures,short_answer,medium,Evaluated Data Structures Question #59: What is the primary characteristic of Data Structures concept #59?,,Expected core concept,Model solution explaining Data Structures principles for question #59.,2
Data Structures,long_answer,hard,Evaluated Data Structures Question #60: What is the primary characteristic of Data Structures concept #60?,,Expected core concept,Model solution explaining Data Structures principles for question #60.,3
