subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Operating Systems,mcq,easy,Evaluated Operating Systems Question #1: What is the primary characteristic of Operating Systems concept #1?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,multi_select,medium,Evaluated Operating Systems Question #2: What is the primary characteristic of Operating Systems concept #2?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,short_answer,hard,Evaluated Operating Systems Question #3: What is the primary characteristic of Operating Systems concept #3?,,Expected core concept,Model solution explaining Operating Systems principles for question #3.,3
Operating Systems,long_answer,easy,Evaluated Operating Systems Question #4: What is the primary characteristic of Operating Systems concept #4?,,Expected core concept,Model solution explaining Operating Systems principles for question #4.,1
Operating Systems,mcq,medium,Evaluated Operating Systems Question #5: What is the primary characteristic of Operating Systems concept #5?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,multi_select,hard,Evaluated Operating Systems Question #6: What is the primary characteristic of Operating Systems concept #6?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,short_answer,easy,Evaluated Operating Systems Question #7: What is the primary characteristic of Operating Systems concept #7?,,Expected core concept,Model solution explaining Operating Systems principles for question #7.,1
Operating Systems,long_answer,medium,Evaluated Operating Systems Question #8: What is the primary characteristic of Operating Systems concept #8?,,Expected core concept,Model solution explaining Operating Systems principles for question #8.,2
Operating Systems,mcq,hard,Evaluated Operating Systems Question #9: What is the primary characteristic of Operating Systems concept #9?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,multi_select,easy,Evaluated Operating Systems Question #10: What is the primary characteristic of Operating Systems concept #10?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,short_answer,medium,Evaluated Operating Systems Question #11: What is the primary characteristic of Operating Systems concept #11?,,Expected core concept,Model solution explaining Operating Systems principles for question #11.,2
Operating Systems,long_answer,hard,Evaluated Operating Systems Question #12: What is the primary characteristic of Operating Systems concept #12?,,Expected core concept,Model solution explaining Operating Systems principles for question #12.,3
Operating Systems,mcq,easy,Evaluated Operating Systems Question #13: What is the primary characteristic of Operating Systems concept #13?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,multi_select,medium,Evaluated Operating Systems Question #14: What is the primary characteristic of Operating Systems concept #14?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,short_answer,hard,Evaluated Operating Systems Question #15: What is the primary characteristic of Operating Systems concept #15?,,Expected core concept,Model solution explaining Operating Systems principles for question #15.,3
Operating Systems,long_answer,easy,Evaluated Operating Systems Question #16: What is the primary characteristic of Operating Systems concept #16?,,Expected core concept,Model solution explaining Operating Systems principles for question #16.,1
Operating Systems,mcq,medium,Evaluated Operating Systems Question #17: What is the primary characteristic of Operating Systems concept #17?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,multi_select,hard,Evaluated Operating Systems Question #18: What is the primary characteristic of Operating Systems concept #18?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,short_answer,easy,Evaluated Operating Systems Question #19: What is the primary characteristic of Operating Systems concept #19?,,Expected core concept,Model solution explaining Operating Systems principles for question #19.,1
Operating Systems,long_answer,medium,Evaluated Operating Systems Question #20: What is the primary characteristic of Operating Systems concept #20?,,Expected core concept,Model solution explaining Operating Systems principles for question #20.,2
Operating Systems,mcq,hard,Evaluated Operating Systems Question #21: What is the primary characteristic of Operating Systems concept #21?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,multi_select,easy,Evaluated Operating Systems Question #22: What is the primary characteristic of Operating Systems concept #22?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,short_answer,medium,Evaluated Operating Systems Question #23: What is the primary characteristic of Operating Systems concept #23?,,Expected core concept,Model solution explaining Operating Systems principles for question #23.,2
Operating Systems,long_answer,hard,Evaluated Operating Systems Question #24: What is the primary characteristic of Operating Systems concept #24?,,Expected core concept,Model solution explaining Operating Systems principles for question #24.,3
Operating Systems,mcq,easy,Evaluated Operating Systems Question #25: What is the primary characteristic of Operating Systems concept #25?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,multi_select,medium,Evaluated Operating Systems Question #26: What is the primary characteristic of Operating Systems concept #26?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,short_answer,hard,Evaluated Operating Systems Question #27: What is the primary characteristic of Operating Systems concept #27?,,Expected core concept,Model solution explaining Operating Systems principles for question #27.,3
Operating Systems,long_answer,easy,Evaluated Operating Systems Question #28: What is the primary characteristic of Operating Systems concept #28?,,Expected core concept,Model solution explaining Operating Systems principles for question #28.,1
Operating Systems,mcq,medium,Evaluated Operating Systems Question #29: What is the primary characteristic of Operating Systems concept #29?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,multi_select,hard,Evaluated Operating Systems Question #30: What is the primary characteristic of Operating Systems concept #30?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,short_answer,easy,Evaluated Operating Systems Question #31: What is the primary characteristic of Operating Systems concept #31?,,Expected core concept,Model solution explaining Operating Systems principles for question #31.,1
Operating Systems,long_answer,medium,Evaluated Operating Systems Question #32: What is the primary characteristic of Operating Systems concept #32?,,Expected core concept,Model solution explaining Operating Systems principles for question #32.,2
Operating Systems,mcq,hard,Evaluated Operating Systems Question #33: What is the primary characteristic of Operating Systems concept #33?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,multi_select,easy,Evaluated Operating Systems Question #34: What is the primary characteristic of Operating Systems concept #34?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,short_answer,medium,Evaluated Operating Systems Question #35: What is the primary characteristic of Operating Systems concept #35?,,Expected core concept,Model solution explaining Operating Systems principles for question #35.,2
Operating Systems,long_answer,hard,Evaluated Operating Systems Question #36: What is the primary characteristic of Operating Systems concept #36?,,Expected core concept,Model solution explaining Operating Systems principles for question #36.,3
Operating Systems,mcq,easy,Evaluated Operating Systems Question #37: What is the primary characteristic of Operating Systems concept #37?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,multi_select,medium,Evaluated Operating Systems Question #38: What is the primary characteristic of Operating Systems concept #38?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,short_answer,hard,Evaluated Operating Systems Question #39: What is the primary characteristic of Operating Systems concept #39?,,Expected core concept,Model solution explaining Operating Systems principles for question #39.,3
