subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Software Engineering,mcq,easy,Evaluated Software Engineering Question #1: What is the primary characteristic of Software Engineering concept #1?,"Option A, Option B, Option C, Option D",Option A,,1
Software Engineering,multi_select,medium,Evaluated Software Engineering Question #2: What is the primary characteristic of Software Engineering concept #2?,"Option A, Option B, Option C, Option D",Option A,,2
Software Engineering,short_answer,hard,Evaluated Software Engineering Question #3: What is the primary characteristic of Software Engineering concept #3?,,Expected core concept,Model solution explaining Software Engineering principles for question #3.,3
Software Engineering,long_answer,easy,Evaluated Software Engineering Question #4: What is the primary characteristic of Software Engineering concept #4?,,Expected core concept,Model solution explaining Software Engineering principles for question #4.,1
Software Engineering,mcq,medium,Evaluated Software Engineering Question #5: What is the primary characteristic of Software Engineering concept #5?,"Option A, Option B, Option C, Option D",Option A,,2
Software Engineering,multi_select,hard,Evaluated Software Engineering Question #6: What is the primary characteristic of Software Engineering concept #6?,"Option A, Option B, Option C, Option D",Option A,,3
Software Engineering,short_answer,easy,Evaluated Software Engineering Question #7: What is the primary characteristic of Software Engineering concept #7?,,Expected core concept,Model solution explaining Software Engineering principles for question #7.,1
Software Engineering,long_answer,medium,Evaluated Software Engineering Question #8: What is the primary characteristic of Software Engineering concept #8?,,Expected core concept,Model solution explaining Software Engineering principles for question #8.,2
Software Engineering,mcq,hard,Evaluated Software Engineering Question #9: What is the primary characteristic of Software Engineering concept #9?,"Option A, Option B, Option C, Option D",Option A,,3
Software Engineering,multi_select,easy,Evaluated Software Engineering Question #10: What is the primary characteristic of Software Engineering concept #10?,"Option A, Option B, Option C, Option D",Option A,,1
Software Engineering,short_answer,medium,Evaluated Software Engineering Question #11: What is the primary characteristic of Software Engineering concept #11?,,Expected core concept,Model solution explaining Software Engineering principles for question #11.,2
Software Engineering,long_answer,hard,Evaluated Software Engineering Question #12: What is the primary characteristic of Software Engineering concept #12?,,Expected core concept,Model solution explaining Software Engineering principles for question #12.,3
Software Engineering,mcq,easy,Evaluated Software Engineering Question #13: What is the primary characteristic of Software Engineering concept #13?,"Option A, Option B, Option C, Option D",Option A,,1
Software Engineering,multi_select,medium,Evaluated Software Engineering Question #14: What is the primary characteristic of Software Engineering concept #14?,"Option A, Option B, Option C, Option D",Option A,,2
Software Engineering,short_answer,hard,Evaluated Software Engineering Question #15: What is the primary characteristic of Software Engineering concept #15?,,Expected core concept,Model solution explaining Software Engineering principles for question #15.,3
Software Engineering,long_answer,easy,Evaluated Software Engineering Question #16: What is the primary characteristic of Software Engineering concept #16?,,Expected core concept,Model solution explaining Software Engineering principles for question #16.,1
Software Engineering,mcq,medium,Evaluated Software Engineering Question #17: What is the primary characteristic of Software Engineering concept #17?,"Option A, Option B, Option C, Option D",Option A,,2
Software Engineering,multi_select,hard,Evaluated Software Engineering Question #18: What is the primary characteristic of Software Engineering concept #18?,"Option A, Option B, Option C, Option D",Option A,,3
Software Engineering,short_answer,easy,Evaluated Software Engineering Question #19: What is the primary characteristic of Software Engineering concept #19?,,Expected core concept,Model solution explaining Software Engineering principles for question #19.,1
Software Engineering,long_answer,medium,Evaluated Software Engineering Question #20: What is the primary characteristic of Software Engineering concept #20?,,Expected core concept,Model solution explaining Software Engineering principles for question #20.,2
Software Engineering,mcq,hard,Evaluated Software Engineering Question #21: What is the primary characteristic of Software Engineering concept #21?,"Option A, Option B, Option C, Option D",Option A,,3
Software Engineering,multi_select,easy,Evaluated Software Engineering Question #22: What is the primary characteristic of Software Engineering concept #22?,"Option A, Option B, Option C, Option D",Option A,,1
Software Engineering,short_answer,medium,Evaluated Software Engineering Question #23: What is the primary characteristic of Software Engineering concept #23?,,Expected core concept,Model solution explaining Software Engineering principles for question #23.,2
Software Engineering,long_answer,hard,Evaluated Software Engineering Question #24: What is the primary characteristic of Software Engineering concept #24?,,Expected core concept,Model solution explaining Software Engineering principles for question #24.,3
Software Engineering,mcq,easy,Evaluated Software Engineering Question #25: What is the primary characteristic of Software Engineering concept #25?,"Option A, Option B, Option C, Option D",Option A,,1
Software Engineering,multi_select,medium,Evaluated Software Engineering Question #26: What is the primary characteristic of Software Engineering concept #26?,"Option A, Option B, Option C, Option D",Option A,,2
Software Engineering,short_answer,hard,Evaluated Software Engineering Question #27: What is the primary characteristic of Software Engineering concept #27?,,Expected core concept,Model solution explaining Software Engineering principles for question #27.,3
Software Engineering,long_answer,easy,Evaluated Software Engineering Question #28: What is the primary characteristic of Software Engineering concept #28?,,Expected core concept,Model solution explaining Software Engineering principles for question #28.,1
Software Engineering,mcq,medium,Evaluated Software Engineering Question #29: What is the primary characteristic of Software Engineering concept #29?,"Option A, Option B, Option C, Option D",Option A,,2
Software Engineering,multi_select,hard,Evaluated Software Engineering Question #30: What is the primary characteristic of Software Engineering concept #30?,"Option A, Option B, Option C, Option D",Option A,,3
Software Engineering,short_answer,easy,Evaluated Software Engineering Question #31: What is the primary characteristic of Software Engineering concept #31?,,Expected core concept,Model solution explaining Software Engineering principles for question #31.,1
Software Engineering,long_answer,medium,Evaluated Software Engineering Question #32: What is the primary characteristic of Software Engineering concept #32?,,Expected core concept,Model solution explaining Software Engineering principles for question #32.,2
Software Engineering,mcq,hard,Evaluated Software Engineering Question #33: What is the primary characteristic of Software Engineering concept #33?,"Option A, Option B, Option C, Option D",Option A,,3
Software Engineering,multi_select,easy,Evaluated Software Engineering Question #34: What is the primary characteristic of Software Engineering concept #34?,"Option A, Option B, Option C, Option D",Option A,,1
Software Engineering,short_answer,medium,Evaluated Software Engineering Question #35: What is the primary characteristic of Software Engineering concept #35?,,Expected core concept,Model solution explaining Software Engineering principles for question #35.,2
Software Engineering,long_answer,hard,Evaluated Software Engineering Question #36: What is the primary characteristic of Software Engineering concept #36?,,Expected core concept,Model solution explaining Software Engineering principles for question #36.,3
Software Engineering,mcq,easy,Evaluated Software Engineering Question #37: What is the primary characteristic of Software Engineering concept #37?,"Option A, Option B, Option C, Option D",Option A,,1
