subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Computer Science,mcq,easy,Evaluated Computer Science Question #1: What is the primary characteristic of Computer Science concept #1?,"Option A, Option B, Option C, Option D",Option A,,1
Computer Science,multi_select,medium,Evaluated Computer Science Question #2: What is the primary characteristic of Computer Science concept #2?,"Option A, Option B, Option C, Option D",Option A,,2
Computer Science,short_answer,hard,Evaluated Computer Science Question #3: What is the primary characteristic of Computer Science concept #3?,,Expected core concept,Model solution explaining Computer Science principles for question #3.,3
Computer Science,long_answer,easy,Evaluated Computer Science Question #4: What is the primary characteristic of Computer Science concept #4?,,Expected core concept,Model solution explaining Computer Science principles for question #4.,1
Computer Science,mcq,medium,Evaluated Computer Science Question #5: What is the primary characteristic of Computer Science concept #5?,"Option A, Option B, Option C, Option D",Option A,,2
Computer Science,multi_select,hard,Evaluated Computer Science Question #6: What is the primary characteristic of Computer Science concept #6?,"Option A, Option B, Option C, Option D",Option A,,3
Computer Science,short_answer,easy,Evaluated Computer Science Question #7: What is the primary characteristic of Computer Science concept #7?,,Expected core concept,Model solution explaining Computer Science principles for question #7.,1
Computer Science,long_answer,medium,Evaluated Computer Science Question #8: What is the primary characteristic of Computer Science concept #8?,,Expected core concept,Model solution explaining Computer Science principles for question #8.,2
Computer Science,mcq,hard,Evaluated Computer Science Question #9: What is the primary characteristic of Computer Science concept #9?,"Option A, Option B, Option C, Option D",Option A,,3
Computer Science,multi_select,easy,Evaluated Computer Science Question #10: What is the primary characteristic of Computer Science concept #10?,"Option A, Option B, Option C, Option D",Option A,,1
Computer Science,short_answer,medium,Evaluated Computer Science Question #11: What is the primary characteristic of Computer Science concept #11?,,Expected core concept,Model solution explaining Computer Science principles for question #11.,2
Computer Science,long_answer,hard,Evaluated Computer Science Question #12: What is the primary characteristic of Computer Science concept #12?,,Expected core concept,Model solution explaining Computer Science principles for question #12.,3
Computer Science,mcq,easy,Evaluated Computer Science Question #13: What is the primary characteristic of Computer Science concept #13?,"Option A, Option B, Option C, Option D",Option A,,1
Computer Science,multi_select,medium,Evaluated Computer Science Question #14: What is the primary characteristic of Computer Science concept #14?,"Option A, Option B, Option C, Option D",Option A,,2
Computer Science,short_answer,hard,Evaluated Computer Science Question #15: What is the primary characteristic of Computer Science concept #15?,,Expected core concept,Model solution explaining Computer Science principles for question #15.,3
Computer Science,long_answer,easy,Evaluated Computer Science Question #16: What is the primary characteristic of Computer Science concept #16?,,Expected core concept,Model solution explaining Computer Science principles for question #16.,1
Computer Science,mcq,medium,Evaluated Computer Science Question #17: What is the primary characteristic of Computer Science concept #17?,"Option A, Option B, Option C, Option D",Option A,,2
Computer Science,multi_select,hard,Evaluated Computer Science Question #18: What is the primary characteristic of Computer Science concept #18?,"Option A, Option B, Option C, Option D",Option A,,3
Computer Science,short_answer,easy,Evaluated Computer Science Question #19: What is the primary characteristic of Computer Science concept #19?,,Expected core concept,Model solution explaining Computer Science principles for question #19.,1
Computer Science,long_answer,medium,Evaluated Computer Science Question #20: What is the primary characteristic of Computer Science concept #20?,,Expected core concept,Model solution explaining Computer Science principles for question #20.,2
Computer Science,mcq,hard,Evaluated Computer Science Question #21: What is the primary characteristic of Computer Science concept #21?,"Option A, Option B, Option C, Option D",Option A,,3
